Type,Country,Quantity (kg),Value (US$),Year
Espumantes,Argentina,8811.0,7543.0,1971
Espumantes,Austrália,,,1971
Espumantes,Áustria,,,1971
Espumantes,Bermudas,,,1971
Espumantes,Bahamas,,,1971
Espumantes,Bélgica,,,1971
Espumantes,Brasil,,,1971
Espumantes,Bulgária,,,1971
Espumantes,Canada,,,1971
Espumantes,Chile,,,1971
Espumantes,Croácia,,,1971
Espumantes,Cuba,,,1971
Espumantes,Emirados Árabes Unidos,,,1971
Espumantes,Eslovênia,,,1971
Espumantes,Espanha,7865.0,5230.0,1971
Espumantes,Estados Unidos,,,1971
Espumantes,França,26523.0,72645.0,1971
Espumantes,Geórgia,,,1971
Espumantes,Granada,,,1971
Espumantes,Grécia,,,1971
Espumantes,Hong Kong,,,1971
Espumantes,Hungria,,,1971
Espumantes,Indonésia,,,1971
Espumantes,Irlanda,,,1971
Espumantes,Israel,360.0,349.0,1971
Espumantes,Itália,554.0,485.0,1971
Espumantes,Japão,,,1971
Espumantes,Luxemburgo,,,1971
Espumantes,México,,,1971
Espumantes,Moldávia,,,1971
Espumantes,Nova Zelândia,,,1971
Espumantes,Países Baixos,,,1971
Espumantes,Panamá,,,1971
Espumantes,Peru,,,1971
Espumantes,Portugal,2054.0,3090.0,1971
Espumantes,Reino Unido,,,1971
Espumantes,Romênia,,,1971
Espumantes,Suíça,,,1971
Espumantes,Tunísia,,,1971
Espumantes,Ucrânia,,,1971
Espumantes,Uruguai,,,1971
Espumantes,Não consta na tabela,,,1971
Espumantes,Não declarados,,,1971
Espumantes,Outros,3772.0,2358.0,1971
Uvas frescas,Argélia,,,1971
Uvas frescas,Argentina,1805310.0,684328.0,1971
Uvas frescas,Brasil,,,1971
Uvas frescas,Chile,1485897.0,381705.0,1971
Uvas frescas,Colômbia,3312.0,2168.0,1971
Uvas frescas,Egito,,,1971
Uvas frescas,Espanha,1371457.0,433924.0,1971
Uvas frescas,Estados Unidos,12403.0,5760.0,1971
Uvas frescas,Grécia,74700.0,14940.0,1971
Uvas frescas,Itália,9960.0,1195.0,1971
Uvas frescas,México,12000.0,4800.0,1971
Uvas frescas,Peru,,,1971
Uvas frescas,Paraguai,,,1971
Uvas frescas,Portugal,800.0,438.0,1971
Uvas frescas,Panamá,,,1971
Uvas frescas,Reino Unido,,,1971
Uvas frescas,Uruguai,,,1971
Uvas frescas,Venezuela,400.0,511.0,1971
Uvas frescas,Não consta na tabela,,,1971
Uvas frescas,Outros,,,1971
Uvas passas,Afeganistão,,,1971
Uvas passas,África do Sul,,,1971
Uvas passas,"Alemanha, República Democrática",,,1971
Uvas passas,Arábia Saudita,,,1971
Uvas passas,Argentina,1206326.0,936632.0,1971
Uvas passas,Austrália,,,1971
Uvas passas,Bélgica,,,1971
Uvas passas,Chile,,,1971
Uvas passas,China,,,1971
Uvas passas,China Continental,,,1971
Uvas passas,Cingapura,,,1971
Uvas passas,Costa Rica,,,1971
Uvas passas,Emirados,,,1971
Uvas passas,Egito,,,1971
Uvas passas,Espanha,15000.0,14403.0,1971
Uvas passas,Estados Unidos,429346.0,292067.0,1971
Uvas passas,França,,,1971
Uvas passas,Grécia,302825.0,95349.0,1971
Uvas passas,Guiana Britânica,,,1971
Uvas passas,Índia,,,1971
Uvas passas,Irã,,,1971
Uvas passas,Itália,27860.0,7104.0,1971
Uvas passas,Japão,7221.0,4458.0,1971
Uvas passas,México,209257.0,129483.0,1971
Uvas passas,Países Baixos,,,1971
Uvas passas,Paraguai,,,1971
Uvas passas,Peru,,,1971
Uvas passas,Portugal,,,1971
Uvas passas,Reino Unido,211.0,174.0,1971
Uvas passas,Suécia,,,1971
Uvas passas,Turquia,306025.0,88018.0,1971
Uvas passas,Uruguai,,,1971
Uvas passas,Uzbequistão,,,1971
Uvas passas,Venezuela,,,1971
Uvas passas,Não consta na tabela,,,1971
Uvas passas,Outros,,,1971
Suco de uva,Africa do Sul,,,1971
Suco de uva,Alemanha,,,1971
Suco de uva,Argentina,,,1971
Suco de uva,Austria,,,1971
Suco de uva,Canadá,,,1971
Suco de uva,"Coreia do Sul, República",,,1971
Suco de uva,"Coreia do Norte, República",,,1971
Suco de uva,Chile,,,1971
Suco de uva,China,,,1971
Suco de uva,Dinamarca,34.0,16.0,1971
Suco de uva,Espanha,,,1971
Suco de uva,Estados Unidos,210.0,777.0,1971
Suco de uva,França,81.0,48.0,1971
Suco de uva,Guiana,,,1971
Suco de uva,Israel,,,1971
Suco de uva,itália,,,1971
Suco de uva,Japão,,,1971
Suco de uva,Líbano,,,1971
Suco de uva,México,,,1971
Suco de uva,Países Baixos,,,1971
Suco de uva,Panamá,,,1971
Suco de uva,Peru,,,1971
Suco de uva,Portugal,160.0,109.0,1971
Suco de uva,Reino Unido,,,1971
Suco de uva,Taiwan,,,1971
Suco de uva,Turquia,,,1971
Suco de uva,Uruguai,,,1971
Suco de uva,Venezuela,,,1971
Suco de uva,Outros,,,1971
Vinhos de mesa,Africa do Sul,,,1972
Vinhos de mesa,Alemanha,134438.0,92103.0,1972
Vinhos de mesa,Argélia,,,1972
Vinhos de mesa,Arábia Saudita,,,1972
Vinhos de mesa,Argentina,104906.0,58137.0,1972
Vinhos de mesa,Armênia,,,1972
Vinhos de mesa,Austrália,,,1972
Vinhos de mesa,Áustria,353.0,520.0,1972
Vinhos de mesa,Bermudas,,,1972
Vinhos de mesa,Bélgica,,,1972
Vinhos de mesa,Bolívia,,,1972
Vinhos de mesa,Bósnia-Herzegovina,,,1972
Vinhos de mesa,Brasil,,,1972
Vinhos de mesa,Bulgária,,,1972
Vinhos de mesa,Canada,,,1972
